A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940)
3001.19,1130.91,3057.88,807.56,1057.98,1691.98,467.09,476.11,1436.45,247.98,337.97,74.97,88.62,75.75,244.52,327.76,119.64,53.86
3046.3,1133.9,3085.15,819.67,1043.54,1728.88,463.98,475.08,1423.57,247.98,350.08,74.12,87.1,74.14,241.1,314.24,121.98,53.98
2758.32,853.91,2683.98,666.19,872.22,1688.27,409.66,417.98,1251.48,224.81,262.78,67.77,79.65,66.89,224.74,286.08,119.76,51.13
3129.57,1218.98,3237.99,824.28,1050.98,1866.46,411.8,420.16,1300.98,217.68,370.55,63.53,87.1,781.1,251.43,332.19,112.29,49.3
3145.88,1116.87,3031.98,801.98,1070.19,471.98,474.2,1418.99,241.88,323.87,80.19,91.89,75.44,234.87,302.88,123.44,62.34,51.12
2224.98,676.87,2234.61,531.98,773.98,1444.98,332.78,330.98,1300.11,168.98,297.68,60.57,81.08,66.89,233.38,309.98,112.98,45.65
2098.11,473.12,1897.12,474.23,686.76,1543.11,361.12,391.98,1260.98,213.77,328.98,63.11,79.53,68.5,235.98,299.8,110.98,45.65
2334.12,701.98,2310.22,606.98,855.9,1531.09,388.88,392.12,1301.98,194.23,307.98,64.39,79.98,66.89,224.98,283.12,108.98,46.56
2116.18,471.98,2029.99,532.11,834.22,1602.89,441.98,531.99,1268.98,301.22,302.11,72.23,81.8,66.89,229.09,301,156.87,52.98
1563.11,302.91,1693.98,409.98,716.12,1466.97,371.88,402.34,1311.08,216.98,335.98,62.28,82,68.5,230.19,306.11,114.98,46.56
1949.88,572.31,2223.09,599.89,846.77,1636.72,425.87,446.98,1380.92,230.19,346.19,66.98,83.43,72.34,239.98,309.98,113.23,48.98
2250.98,850.19,2735.88,670.98,880.09,1620.11,450.19,450.19,1304.34,223.09,272.12,72.09,87.09,82.12,231.09,309.29,123.92,52.98
2743.68,826.09,2517.88,632,801.99,1572.23,420.98,440.89,1219.98,232.98,324.87,68.19,78.09,68.5,231.63,287.9,119.09,51.19
3234.52,1199.66,3110.08,809.41,1037.22,1709.23,486.87,496.63,1270.21,257.38,283.31,77.92,84.09,69.3,229.08,305.23,127.58,57.52
2058.33,544.03,2093.92,546.07,751.47,1511.59,396.11,394.19,1307.67,196.27,329.5,66.08,78.01,67.69,241.96,321,120.77,48.39
1485.12,628.12,2565.87,600.89,874.41,1623.98,409.91,424.87,1382.7,213.88,334.76,65.23,83.83,70.93,235.09,300.73,116.24,47.47
1774.79,667.58,2572.98,607.98,876.98,1623.98,410.09,424.82,1380.27,215,335.66,66.08,83.32,71.72,235.09,300.73,116.24,47.47
2865.01,945.58,2633.98,752.21,895.16,1604.98,463.11,480.12,1300.66,248.45,325.87,73.7,83.32,70.92,246.26,319.98,129.11,54.78
2859.81,640.98,2468.11,641.12,930.11,1692.77,459.09,486.11,1416.98,253.81,346.11,72.98,86.26,73.33,244.54,314.98,140.64,52.92
2988.18,981.56,2912.11,794.15,1029.89,1794.22,465.44,486.77,1410.98,256.77,333.61,74.55,87.1,74.97,243.68,309.77,132.87,55.69
4038.98,1023.6,3011.6,814.56,1032.48,1856.77,471.98,497.18,1176.99,261.87,269.87,75.39,80.12,67.79,227.32,297.88,140.87,55.69
3450.11,1131.22,2879.11,828.98,933.31,1697.18,467.98,474.23,1338.11,246.09,316.98,76.24,82.56,71.72,244.54,308.91,128.22,55.68
2846.77,768.9,2591.88,699.87,932.14,1760.11,451.87,480.19,1415.87,257.87,351.98,74.13,87.1,74.98,245.11,309.12,135.08,56.6
2439.11,218.21,1490.11,252.22,478.1,1277.98,283.22,295.11,1197.88,150.98,301.12,54.64,77.46,64.46,216.22,281.88,102.28,36.56
1692.29,79.71,806.11,123.11,257.98,1149.11,223.09,273.11,808.91,172.11,242.21,52.9,65.12,54.9,197.11,263.12,111.12,41.09
1691.98,161.43,1264.11,280.11,540.81,1390.11,305.11,339.88,1029.11,180.21,281.88,55.78,69.87,59.63,212.11,275.11,113.98,42
2415.8,1030.99,3108.11,807.1,1077.88,1750.19,411.1,426.19,1416.18,222.87,330.31,68.87,87.97,74.16,233.35,296.12,115.87,50.21
1883.12,815.09,2125.88,549.22,808.11,1164.22,378.22,387.11,993.11,199.22,246.22,58.65,7.98,58.03,169.98,242.12,86.75,40.17
3030.69,1022.31,2840.33,792.77,961.08,1795.78,462.12,480.11,1230.11,245.16,317.45,71.96,80.53,69.11,240.11,310.11,126.96,52.16
1302.83,497.87,1146.8,449.6,583.09,1140.99,325.98,324.11,881.9,158.97,205.11,52.97,54.11,51.09,162.98,171.09,76.55,36.52
1226.5,684.53,1724.7,456.45,764.1,1023.45,345.59,360.04,959.98,188.24,262.78,56.76,74.98,60.44,167.05,242.16,82.78,41.08
1050.11,601.19,1566.78,415.79,713.23,938.56,255.76,261.8,807.78,130.87,228.17,40.98,70.12,59.63,144.66,204.12,66.43,30.98
1028.22,435.11,1546.37,351.87,698.78,1051.22,256.98,271.09,761.23,139.22,210.18,43.23,68.77,52.12,146.34,210.18,70.19,31.98
1920.42,284.97,1655.03,409.32,679.64,1610.41,359.02,398.71,1299.48,219.01,337.71,61.84,80.29,68.5,229.04,282.71,110.57,45.65
1614.23,281.11,1532.11,371.12,613.12,1509.23,345.18,382.12,1290.18,211.11,341.12,62.12,81.12,71.12,241.17,303.12,121.11,46.76
1160.11,519.23,1483.12,384.76,688.98,994.12,336.11,353.12,926.17,181.12,241.99,52.1,68.17,54.8,159.3,236.98,80.51,37.43
1352.27,584.89,1749.58,434.27,732.53,1096.82,340.75,357.03,950.61,186.01,254.57,53.79,68.93,55.61,173.07,246.66,87.89,36.52
2471.11,601.12,2132.99,492.12,656.12,1481.12,332.12,330.12,1321.12,171.12,331.12,61.12,82.23,72.23,232.44,282.11,101.49,40.18
2682.11,715.18,2472.13,652.12,881.23,1731.22,432.11,451.12,1382.12,232.23,341.22,72.09,91.12,73.23,242.23,301.22,131.12,53.23
1378.29,555.99,1657.02,426.88,755.42,1105.05,353.11,371.59,963.49,191.81,246.36,53.79,68.93,53.99,162.74,226.39,84.48,38.34
1488.45,833.99,1954.59,567.32,875.4,1106.55,383.75,397.2,993.93,204.74,255.59,59.72,76.5,61.25,166.18,230.89,85.05,42.91
1768.62,955.55,2111.98,621.12,890.11,1114.87,393.22,398.12,1036.77,204.76,266.12,61.98,76.5,62.23,167.11,246.87,83.37,43.32
290.11,110.11,720.19,112.23,332.12,767.11,210.91,136.88,950.11,39.23,231.11,42.11,60.19,50.11,150.19,200.12,50.11,20
1407.79,551.01,1674.94,413.94,757.79,1102.81,339.14,357.03,945.93,186.9,253.54,55.06,74.23,58.83,166.18,225.26,84.48,37.43
2722.13,912.22,2708.19,756.98,993.12,1632.11,461.12,481.23,1331.12,251.12,312.11,81.12,87.12,70.19,241.23,321.12,135.87,61.12
1665.4,256.07,1329.6,351.11,598.34,1595,359.02,386.66,1286.6,204.74,333.61,60.15,78.77,67.69,243.68,318.75,105.46,43.82
831.83,353.68,1054.94,303.06,659.12,922.37,334.84,356.53,937.73,185.56,235.06,52.95,71.2,56.41,154.99,229.77,80.51,38.34
2268.24,824.02,2664.17,705,969.34,1724.21,446.09,457.96,1490.3,235.96,369.53,70.74,90.89,78.17,266.07,368.31,115.1,50.21
2734.9,792.14,2394.47,711.46,925.13,1861.22,443.94,462.98,1398.99,241.32,343.87,69.89,81.8,72.54,244.54,291.72,109.43,50.21
2332.43,854.91,2522.85,678.2,876.98,1727.2,442.87,449.93,1492.65,221.25,385.96,69.89,89.38,78.98,271.68,361.55,113.4,48.39
1724.39,878.82,2037.19,585.8,895.92,1132,391.81,400.72,1019.34,204.74,258.67,58.88,73.47,58.83,163.6,236.53,83.92,42.91
1997.12,996.12,2294.12,647.65,896.71,1152.22,406.34,414.28,1020.98,212.77,254.11,60.99,72.7,59.43,165.32,241.09,85.62,43.87
2182.37,957.54,2304.9,633.85,885.66,1203.88,392.35,406.74,808.96,213.22,236.09,60.57,75.74,61.25,162.74,227.52,90.72,42.91
1955.11,1094.06,2344.72,748.5,1029.54,1221.1,415.46,432.31,1208.99,229.37,324.37,71.16,87.86,73.33,173.07,241.03,86.18,48.39
1840.62,1019.32,2180.5,613.52,862.77,1068.37,327.85,329.41,943.59,177.09,234.04,55.91,71.2,57.22,162.74,241.03,83.92,42.91
1583.87,647.66,1799.34,484.16,802.78,1129.76,367.62,388.16,977.54,205.19,253.54,58.88,78.77,63.66,167.91,225.26,86.75,41.08
1358.34,457.35,1617.21,392.69,679.64,1072.86,338.06,365.57,840.56,194.93,236.09,56.76,71.95,58.83,167.91,227.52,91.29,37.43
1089.45,201.27,1304.72,240.23,543.08,1096.07,282.7,316.36,890.9,172.62,231.99,49.13,63.62,52.38,165.32,209.49,87.32,32.87
1240.11,538.12,1578.18,397.31,710.22,1042.28,359.87,363.12,936.51,177.89,246.23,50.19,70.12,59.11,171.11,256.28,87.18,38.12
1272.47,579.9,1423.15,380.68,667.8,905.15,340.21,362.05,800.76,191.81,229.93,54.64,74.98,58.83,154.13,230.89,85.05,39.26
2735.77,922.67,2735.83,720.7,961.44,1692.02,442.33,455.45,1430.6,237.75,361.32,71.58,87.86,74.14,245.4,321,115,51.13
2891.03,923.66,2526.83,684.67,873.03,1784.1,395.57,402.22,1221.04,212.32,315.13,63.53,78.77,70.11,237.65,299.6,108.3,47.47
3285.7,1233.54,3233.43,872.24,1113.79,1743.68,486.4,491.61,1449.33,254.7,337.71,76.67,89.38,74.95,243.68,324.38,119.64,55.69
